artifact_id,title,workstream,service_code,artifact_type,scope,status,owner_role,decision_role,required_reviewer_role,legal_review_required,typst_issue_required,typst_template,confidentiality,depends_on,batch,file_path,notes
SCR-003,Owner's project requirements brief,parcel-screening,DSN,brief,reusable,template,contractor_program_manager,company_decision_authority,company_decision_authority,false,true,report,internal,,1,templates/parcel-screening/owner-s-project-requirements-brief.md,Company's written program; Sec 6 standard of care is measured against it
SCR-004,Acquisition criteria definition,parcel-screening,LND,policy,reusable,template,contractor_program_manager,company_decision_authority,company_decision_authority,false,false,,internal,SCR-003,1,templates/parcel-screening/acquisition-criteria-definition.md,
SCR-005,Candidate pipeline record,parcel-screening,LND,register,reusable,template,contractor_program_manager,company_decision_authority,internal_peer,false,false,,internal,SCR-001,1,templates/parcel-screening/candidate-pipeline-record.md,"Exhibit A: candidates, status, disposition"
SCR-006,Buildable-envelope and site-yield worksheet,parcel-screening,LND,worksheet,parcel_specific,template,contractor_program_manager,company_decision_authority,internal_peer,false,false,,internal,SCR-001,1,templates/parcel-screening/buildable-envelope-and-site-yield-worksheet.md,
SCR-007,Comparables and finished-value estimate,parcel-screening,LND,worksheet,parcel_specific,template,contractor_program_manager,company_decision_authority,internal_peer,false,false,,internal,SCR-001,1,templates/parcel-screening/comparables-and-finished-value-estimate.md,
SCR-008,Total project cost screen,parcel-screening,EST,worksheet,parcel_specific,template,contractor_program_manager,company_decision_authority,internal_peer,false,false,,internal,SCR-006;SCR-007,1,templates/parcel-screening/total-project-cost-screen.md,
PUB-001,Typst component library,publication,ADM,library,reusable,review_required,contractor_program_manager,company_decision_authority,internal_peer,false,false,,public,,1,publication/typst/lib/lib.typ,
PUB-002,Typst base templates,publication,ADM,library,reusable,review_required,contractor_program_manager,company_decision_authority,internal_peer,false,false,,public,PUB-001,1,publication/typst/templates/,
PUB-003,Build and issue instructions,publication,ADM,reference,reusable,review_required,contractor_program_manager,company_decision_authority,internal_peer,false,false,,public,PUB-002,1,publication/README.md,
PUB-004,Issue manifest schema and template,publication,ADM,schema,reusable,review_required,contractor_program_manager,company_decision_authority,internal_peer,false,false,,public,PUB-003,1,schemas/issue-manifest.schema.json,
PUB-005,Library self-test,publication,ADM,test,reusable,review_required,contractor_program_manager,company_decision_authority,internal_peer,false,false,,public,PUB-001,1,publication/typst/lib-selftest.typ,
ACQ-001,Acquisition pathway decision tree,acquisition,LND,decision_tool,reusable,planned,contractor_program_manager,company_decision_authority,michigan_licensed_attorney,true,false,,internal,,2,templates/acquisition/acquisition-pathway-decision-tree.md,
ACQ-002,Acquisition pathway matrix,acquisition,LND,matrix,reusable,planned,contractor_program_manager,company_decision_authority,michigan_licensed_attorney,true,false,,internal,,2,templates/acquisition/acquisition-pathway-matrix.md,
ACQ-003,Ownership and disposition-path checklist,acquisition,LND,checklist,parcel_specific,planned,contractor_program_manager,company_decision_authority,michigan_licensed_attorney,true,true,form-checklist,internal,ACQ-001,2,templates/acquisition/ownership-and-disposition-path-checklist.md,
ACQ-004,Purchaser eligibility checklist,acquisition,LND,checklist,reusable,planned,contractor_program_manager,company_decision_authority,michigan_licensed_attorney,true,true,form-checklist,internal,ACQ-001,2,templates/acquisition/purchaser-eligibility-checklist.md,
ACQ-005,Applicant and entity information checklist,acquisition,LND,checklist,reusable,planned,contractor_program_manager,company_decision_authority,michigan_licensed_attorney,true,true,form-checklist,internal,ACQ-001,2,templates/acquisition/applicant-and-entity-information-checklist.md,
ACQ-006,Parcel schedule and legal-description register,acquisition,LND,register,parcel_specific,planned,contractor_program_manager,company_decision_authority,licensed_surveyor,true,false,,internal,ACQ-001,2,templates/acquisition/parcel-schedule-and-legal-description-register.md,
ACQ-007,Application completeness checklist,acquisition,LND,checklist,parcel_specific,planned,contractor_program_manager,company_decision_authority,michigan_licensed_attorney,true,true,form-checklist,internal,ACQ-001,2,templates/acquisition/application-completeness-checklist.md,
ACQ-008,Development proposal narrative,acquisition,LND,proposal,parcel_specific,planned,contractor_program_manager,company_decision_authority,company_decision_authority,false,true,application-package,internal,ACQ-001,2,templates/acquisition/development-proposal-narrative.md,
ACQ-009,Proposed-use and community-benefit statement,acquisition,LND,narrative,parcel_specific,planned,contractor_program_manager,company_decision_authority,company_decision_authority,false,true,application-package,internal,ACQ-001,2,templates/acquisition/proposed-use-and-community-benefit-statement.md,
ACQ-010,Concept site-plan submission checklist,acquisition,DSN,checklist,parcel_specific,planned,contractor_program_manager,company_decision_authority,licensed_architect_or_engineer,false,true,form-checklist,internal,ACQ-001,2,templates/acquisition/concept-site-plan-submission-checklist.md,
ACQ-011,Development schedule and milestones,acquisition,EST,schedule,parcel_specific,planned,contractor_program_manager,company_decision_authority,company_decision_authority,false,true,application-package,internal,ACQ-001,2,templates/acquisition/development-schedule-and-milestones.md,
ACQ-012,Sources-and-uses summary,acquisition,EST,worksheet,parcel_specific,planned,contractor_program_manager,company_decision_authority,cpa_or_tax_advisor,false,true,application-package,internal,ACQ-001,2,templates/acquisition/sources-and-uses-summary.md,
ACQ-013,Proof-of-funds checklist,acquisition,LND,checklist,parcel_specific,planned,contractor_program_manager,company_decision_authority,company_decision_authority,false,true,form-checklist,internal,ACQ-001,2,templates/acquisition/proof-of-funds-checklist.md,
ACQ-014,Organizational-authority checklist,acquisition,LND,checklist,reusable,planned,contractor_program_manager,company_decision_authority,michigan_licensed_attorney,true,true,form-checklist,internal,ACQ-001,2,templates/acquisition/organizational-authority-checklist.md,
ACQ-015,Agency communication and submission log,acquisition,LND,log,parcel_specific,planned,contractor_program_manager,company_decision_authority,internal_peer,false,false,,internal,ACQ-001,2,templates/acquisition/agency-communication-and-submission-log.md,
ACQ-016,Board-approval tracker,acquisition,LND,tracker,parcel_specific,planned,contractor_program_manager,company_decision_authority,michigan_licensed_attorney,true,false,,internal,ACQ-001,2,templates/acquisition/board-approval-tracker.md,
ACQ-017,Offer and transaction term sheet,acquisition,LND,term_sheet,parcel_specific,planned,contractor_program_manager,company_decision_authority,michigan_licensed_attorney,true,true,memo,internal,ACQ-001,2,templates/acquisition/offer-and-transaction-term-sheet.md,
ACQ-018,Deposit tracker,acquisition,LND,tracker,parcel_specific,planned,contractor_program_manager,company_decision_authority,michigan_licensed_attorney,true,false,,internal,ACQ-001,2,templates/acquisition/deposit-tracker.md,
ACQ-019,Purchase-agreement issue checklist,acquisition,LND,checklist,parcel_specific,planned,contractor_program_manager,company_decision_authority,michigan_licensed_attorney,true,true,form-checklist,internal,ACQ-001,2,templates/acquisition/purchase-agreement-issue-checklist.md,
ACQ-020,Counsel instruction and review memo,acquisition,LND,handoff,parcel_specific,planned,contractor_program_manager,company_decision_authority,michigan_licensed_attorney,true,true,professional-handoff,internal,ACQ-001,2,templates/acquisition/counsel-instruction-and-review-memo.md,
ACQ-021,Official agreement and form receipt log,acquisition,LND,log,parcel_specific,planned,contractor_program_manager,company_decision_authority,michigan_licensed_attorney,true,false,,internal,ACQ-001,2,templates/acquisition/official-agreement-and-form-receipt-log.md,
ACQ-022,Deed and conveyance review checklist,acquisition,LND,checklist,parcel_specific,planned,contractor_program_manager,company_decision_authority,michigan_licensed_attorney,true,true,form-checklist,internal,ACQ-001,2,templates/acquisition/deed-and-conveyance-review-checklist.md,
ACQ-023,Closing-conditions checklist,acquisition,LND,checklist,parcel_specific,planned,contractor_program_manager,company_decision_authority,michigan_licensed_attorney,true,true,form-checklist,internal,ACQ-001,2,templates/acquisition/closing-conditions-checklist.md,
ACQ-024,Closing binder index,acquisition,LND,index,parcel_specific,planned,contractor_program_manager,company_decision_authority,michigan_licensed_attorney,true,true,binder,internal,ACQ-001,2,templates/acquisition/closing-binder-index.md,
ACQ-025,Post-closing covenant and reverter abstract,acquisition,LND,abstract,parcel_specific,planned,contractor_program_manager,company_decision_authority,michigan_licensed_attorney,true,true,report,internal,ACQ-001,2,templates/acquisition/post-closing-covenant-and-reverter-abstract.md,
ACQ-026,Acquisition recommendation memo,acquisition,LND,memo,parcel_specific,planned,contractor_program_manager,company_decision_authority,company_decision_authority,false,true,memo,internal,ACQ-001,2,templates/acquisition/acquisition-recommendation-memo.md,
DD-001,Due-diligence plan and deadline calculator,due-diligence,LND,plan,parcel_specific,planned,contractor_program_manager,company_decision_authority,michigan_licensed_attorney,true,true,report,internal,SCR-002,2,templates/due-diligence/due-diligence-plan-and-deadline-calculator.md,
DD-002,Integrated parcel diligence checklist,due-diligence,LND,checklist,parcel_specific,planned,contractor_program_manager,company_decision_authority,michigan_licensed_attorney,true,true,form-checklist,internal,DD-001,2,templates/due-diligence/integrated-parcel-diligence-checklist.md,
DD-003,Title request and review checklist,due-diligence,LND,checklist,parcel_specific,planned,contractor_program_manager,company_decision_authority,michigan_licensed_attorney,true,true,form-checklist,internal,DD-001,2,templates/due-diligence/title-request-and-review-checklist.md,
DD-004,Exception-document register,due-diligence,LND,register,parcel_specific,planned,contractor_program_manager,company_decision_authority,michigan_licensed_attorney,true,false,,internal,DD-001,2,templates/due-diligence/exception-document-register.md,
DD-005,"Tax, assessment, water and municipal-charge review",due-diligence,LND,review,parcel_specific,planned,contractor_program_manager,company_decision_authority,cpa_or_tax_advisor,false,false,,internal,DD-001,2,templates/due-diligence/tax-assessment-water-and-municipal-charge-review.md,
DD-006,Lien and encumbrance register,due-diligence,LND,register,parcel_specific,planned,contractor_program_manager,company_decision_authority,michigan_licensed_attorney,true,false,,internal,DD-001,2,templates/due-diligence/lien-and-encumbrance-register.md,
DD-007,Survey RFP and review checklist,due-diligence,LND,checklist,parcel_specific,planned,contractor_program_manager,company_decision_authority,licensed_surveyor,false,true,rfp,internal,DD-001,2,templates/due-diligence/survey-rfp-and-review-checklist.md,
DD-008,"Boundary, easement, encroachment and access matrix",due-diligence,LND,matrix,parcel_specific,planned,contractor_program_manager,company_decision_authority,licensed_surveyor,true,false,,internal,DD-001,2,templates/due-diligence/boundary-easement-encroachment-and-access-matrix.md,
DD-009,Parcel-combination checklist,due-diligence,LND,checklist,parcel_specific,planned,contractor_program_manager,company_decision_authority,michigan_licensed_attorney,true,true,form-checklist,internal,DD-001,2,templates/due-diligence/parcel-combination-checklist.md,
DD-010,Zoning confirmation memo,due-diligence,PMT,memo,parcel_specific,planned,contractor_program_manager,company_decision_authority,michigan_licensed_attorney,true,true,memo,internal,DD-001,2,templates/due-diligence/zoning-confirmation-memo.md,
DD-011,Dimensional and permitted-use matrix,due-diligence,PMT,matrix,parcel_specific,planned,contractor_program_manager,company_decision_authority,licensed_architect_or_engineer,false,false,,internal,DD-001,2,templates/due-diligence/dimensional-and-permitted-use-matrix.md,
DD-012,Variance and interpretation issue brief,due-diligence,PMT,brief,parcel_specific,planned,contractor_program_manager,company_decision_authority,michigan_licensed_attorney,true,true,professional-handoff,internal,DD-001,2,templates/due-diligence/variance-and-interpretation-issue-brief.md,
DD-013,Historic and design-review screen,due-diligence,PMT,screen,parcel_specific,planned,contractor_program_manager,company_decision_authority,licensed_architect_or_engineer,false,false,,internal,DD-001,2,templates/due-diligence/historic-and-design-review-screen.md,
DD-014,Floodplain and wetland screen,due-diligence,LND,screen,parcel_specific,planned,contractor_program_manager,company_decision_authority,environmental_professional,false,false,,internal,DD-001,2,templates/due-diligence/floodplain-and-wetland-screen.md,
DD-015,Environmental investigation scope and findings log,due-diligence,LND,log,parcel_specific,planned,contractor_program_manager,company_decision_authority,environmental_professional,false,true,rfp,internal,DD-001,2,templates/due-diligence/environmental-investigation-scope-and-findings-log.md,
DD-016,Geotechnical scope and findings log,due-diligence,LND,log,parcel_specific,planned,contractor_program_manager,company_decision_authority,geotechnical_engineer,false,true,rfp,internal,DD-001,2,templates/due-diligence/geotechnical-scope-and-findings-log.md,
DD-017,"Soil, fill and contamination risk memo",due-diligence,LND,memo,parcel_specific,planned,contractor_program_manager,company_decision_authority,environmental_professional,false,true,report,internal,DD-001,2,templates/due-diligence/soil-fill-and-contamination-risk-memo.md,
DD-018,"Demolition, debris and underground-structure screen",due-diligence,LND,screen,parcel_specific,planned,contractor_program_manager,company_decision_authority,geotechnical_engineer,false,false,,internal,DD-001,2,templates/due-diligence/demolition-debris-and-underground-structure-screen.md,
DD-019,Utility availability and capacity matrix,due-diligence,PMT,matrix,parcel_specific,planned,contractor_program_manager,company_decision_authority,licensed_architect_or_engineer,false,false,,internal,DD-001,2,templates/due-diligence/utility-availability-and-capacity-matrix.md,
DD-020,Utility inquiry log,due-diligence,PMT,log,parcel_specific,planned,contractor_program_manager,company_decision_authority,internal_peer,false,false,,internal,DD-001,2,templates/due-diligence/utility-inquiry-log.md,
DD-021,"Street, alley, curb-cut, sidewalk and fire-access review",due-diligence,PMT,review,parcel_specific,planned,contractor_program_manager,company_decision_authority,licensed_architect_or_engineer,false,false,,internal,DD-001,2,templates/due-diligence/street-alley-curb-cut-sidewalk-and-fire-access-review.md,
DD-022,Tree and site-clearing review,due-diligence,LND,review,parcel_specific,planned,contractor_program_manager,company_decision_authority,internal_peer,false,false,,internal,DD-001,2,templates/due-diligence/tree-and-site-clearing-review.md,
DD-023,Constructability and site-logistics review,due-diligence,EST,review,parcel_specific,planned,contractor_program_manager,company_decision_authority,internal_peer,false,true,report,internal,DD-001,2,templates/due-diligence/constructability-and-site-logistics-review.md,
DD-024,Neighboring-condition review,due-diligence,LND,review,parcel_specific,planned,contractor_program_manager,company_decision_authority,internal_peer,false,false,,internal,DD-001,2,templates/due-diligence/neighboring-condition-review.md,
DD-025,Due-diligence cost tracker,due-diligence,LND,tracker,parcel_specific,planned,contractor_program_manager,company_decision_authority,internal_peer,false,false,,internal,DD-001,2,templates/due-diligence/due-diligence-cost-tracker.md,
DD-026,Red-flag memorandum,due-diligence,LND,memo,parcel_specific,planned,contractor_program_manager,company_decision_authority,michigan_licensed_attorney,true,true,report,internal,DD-001,2,templates/due-diligence/red-flag-memorandum.md,
DD-027,Acquisition go/no-go recommendation,due-diligence,LND,recommendation,parcel_specific,planned,contractor_program_manager,company_decision_authority,company_decision_authority,false,true,report,internal,DD-001,2,templates/due-diligence/acquisition-go-no-go-recommendation.md,
DSN-001,Owner's project requirements,design-feasibility,DSN,brief,reusable,planned,contractor_program_manager,company_decision_authority,company_decision_authority,false,true,report,internal,SCR-003,3,templates/design-feasibility/owner-s-project-requirements.md,
DSN-002,Room and program schedule,design-feasibility,DSN,schedule,reusable,planned,contractor_program_manager,company_decision_authority,company_decision_authority,false,false,,internal,SCR-003,3,templates/design-feasibility/room-and-program-schedule.md,
DSN-003,Site-planning criteria,design-feasibility,DSN,criteria,reusable,planned,contractor_program_manager,company_decision_authority,licensed_architect_or_engineer,false,false,,internal,SCR-003,3,templates/design-feasibility/site-planning-criteria.md,
DSN-004,Accessibility goals,design-feasibility,DSN,criteria,reusable,planned,contractor_program_manager,company_decision_authority,licensed_architect_or_engineer,false,false,,internal,SCR-003,3,templates/design-feasibility/accessibility-goals.md,
DSN-005,Sustainability and energy goals,design-feasibility,DSN,criteria,reusable,planned,contractor_program_manager,company_decision_authority,licensed_architect_or_engineer,false,false,,internal,SCR-003,3,templates/design-feasibility/sustainability-and-energy-goals.md,
DSN-006,Consultant scope matrix,design-feasibility,DSN,matrix,reusable,planned,contractor_program_manager,company_decision_authority,company_decision_authority,false,false,,internal,SCR-003,3,templates/design-feasibility/consultant-scope-matrix.md,
DSN-007,Concept-design review,design-feasibility,DSN,review,parcel_specific,planned,contractor_program_manager,company_decision_authority,licensed_architect_or_engineer,false,true,report,internal,SCR-003,3,templates/design-feasibility/concept-design-review.md,
DSN-008,Zoning and code assumptions,design-feasibility,DSN,assumptions,parcel_specific,planned,contractor_program_manager,company_decision_authority,licensed_architect_or_engineer,false,false,,internal,SCR-003,3,templates/design-feasibility/zoning-and-code-assumptions.md,
DSN-009,Preliminary code analysis,design-feasibility,DSN,analysis,parcel_specific,planned,contractor_program_manager,company_decision_authority,licensed_architect_or_engineer,false,true,report,internal,SCR-003,3,templates/design-feasibility/preliminary-code-analysis.md,
DSN-010,Site-fit brief,design-feasibility,DSN,brief,parcel_specific,planned,contractor_program_manager,company_decision_authority,licensed_architect_or_engineer,false,true,report,internal,SCR-003,3,templates/design-feasibility/site-fit-brief.md,
DSN-011,Design decision log,design-feasibility,DSN,log,parcel_specific,planned,contractor_program_manager,company_decision_authority,company_decision_authority,false,false,,internal,SCR-003,3,templates/design-feasibility/design-decision-log.md,
DSN-012,Design deliverables register,design-feasibility,DSN,register,parcel_specific,planned,contractor_program_manager,company_decision_authority,company_decision_authority,false,false,,internal,SCR-003,3,templates/design-feasibility/design-deliverables-register.md,
DSN-013,Plan version control and revision issue log,design-feasibility,DSN,log,parcel_specific,planned,contractor_program_manager,company_decision_authority,internal_peer,false,false,,internal,SCR-003,3,templates/design-feasibility/plan-version-control-and-revision-issue-log.md,
DSN-014,Sealed-drawing trigger register,design-feasibility,DSN,register,parcel_specific,planned,contractor_program_manager,company_decision_authority,licensed_architect_or_engineer,false,false,,internal,SCR-003,3,templates/design-feasibility/sealed-drawing-trigger-register.md,
FIN-001,Cost plan,finance,EST,plan,parcel_specific,planned,contractor_program_manager,company_decision_authority,company_decision_authority,false,true,report,sensitive,SCR-008,3,templates/finance/cost-plan.md,
FIN-002,Project sources and uses,finance,EST,worksheet,parcel_specific,planned,contractor_program_manager,company_decision_authority,cpa_or_tax_advisor,false,true,report,sensitive,FIN-001,3,templates/finance/project-sources-and-uses.md,
FIN-003,Soft-cost and contingency register,finance,EST,register,parcel_specific,planned,contractor_program_manager,company_decision_authority,company_decision_authority,false,false,,sensitive,FIN-001,3,templates/finance/soft-cost-and-contingency-register.md,
FIN-004,Cash-flow and draw forecast,finance,EST,forecast,parcel_specific,planned,contractor_program_manager,company_decision_authority,lender_underwriter,false,true,report,sensitive,FIN-001,3,templates/finance/cash-flow-and-draw-forecast.md,
FIN-005,Financing comparison,finance,EST,comparison,parcel_specific,planned,contractor_program_manager,company_decision_authority,lender_underwriter,false,true,report,sensitive,FIN-001,3,templates/finance/financing-comparison.md,
FIN-006,Lender checklist,finance,EST,checklist,parcel_specific,planned,contractor_program_manager,company_decision_authority,lender_underwriter,false,true,form-checklist,sensitive,FIN-001,3,templates/finance/lender-checklist.md,
FIN-007,"Incentive, abatement, grant and rebate register",finance,EST,register,parcel_specific,planned,contractor_program_manager,company_decision_authority,cpa_or_tax_advisor,false,false,,sensitive,FIN-001,3,templates/finance/incentive-abatement-grant-and-rebate-register.md,
FIN-008,Proof-of-funds package index,finance,EST,index,parcel_specific,planned,contractor_program_manager,company_decision_authority,company_decision_authority,false,false,,sensitive,FIN-001,3,templates/finance/proof-of-funds-package-index.md,
FIN-009,Appraisal request checklist,finance,EST,checklist,parcel_specific,planned,contractor_program_manager,company_decision_authority,lender_underwriter,false,true,form-checklist,sensitive,FIN-001,3,templates/finance/appraisal-request-checklist.md,
FIN-010,Insurance matrix,finance,ADM,matrix,parcel_specific,planned,contractor_program_manager,company_decision_authority,licensed_insurance_agent,false,false,,sensitive,FIN-001,3,templates/finance/insurance-matrix.md,
APR-001,Permit and approval matrix,approvals,PMT,matrix,parcel_specific,planned,contractor_program_manager,company_decision_authority,licensed_architect_or_engineer,false,false,,internal,DD-010,3,templates/approvals/permit-and-approval-matrix.md,
APR-002,BSEED submission checklist,approvals,PMT,checklist,parcel_specific,planned,contractor_program_manager,company_decision_authority,licensed_architect_or_engineer,false,true,form-checklist,internal,APR-001,3,templates/approvals/bseed-submission-checklist.md,
APR-003,Utility application tracker,approvals,PMT,tracker,parcel_specific,planned,contractor_program_manager,company_decision_authority,internal_peer,false,false,,internal,APR-001,3,templates/approvals/utility-application-tracker.md,
APR-004,Variance submission checklist,approvals,PMT,checklist,parcel_specific,planned,contractor_program_manager,company_decision_authority,michigan_licensed_attorney,true,true,application-package,internal,APR-001,3,templates/approvals/variance-submission-checklist.md,
APR-005,Approval-condition tracker,approvals,PMT,tracker,parcel_specific,planned,contractor_program_manager,company_decision_authority,michigan_licensed_attorney,true,false,,internal,APR-001,3,templates/approvals/approval-condition-tracker.md,
APR-006,Permit comment and response log,approvals,PMT,log,parcel_specific,planned,contractor_program_manager,company_decision_authority,licensed_architect_or_engineer,false,false,,internal,APR-001,3,templates/approvals/permit-comment-and-response-log.md,
APR-007,Permit log,approvals,PMT,log,parcel_specific,planned,contractor_program_manager,company_decision_authority,internal_peer,false,false,,internal,APR-001,3,templates/approvals/permit-log.md,
APR-008,Permit expiration and renewal calendar,approvals,PMT,calendar,parcel_specific,planned,contractor_program_manager,company_decision_authority,internal_peer,false,false,,internal,APR-001,3,templates/approvals/permit-expiration-and-renewal-calendar.md,
APR-009,Municipal inspection scheduling log,approvals,INS,log,parcel_specific,planned,contractor_program_manager,company_decision_authority,internal_peer,false,false,,internal,APR-001,3,templates/approvals/municipal-inspection-scheduling-log.md,
APR-010,Correction notice and re-inspection tracker,approvals,INS,tracker,parcel_specific,planned,contractor_program_manager,company_decision_authority,internal_peer,false,false,,internal,APR-001,3,templates/approvals/correction-notice-and-re-inspection-tracker.md,
APR-011,Agency correspondence,approvals,PMT,letter,parcel_specific,planned,contractor_program_manager,company_decision_authority,company_decision_authority,false,true,letter,internal,APR-001,3,templates/approvals/agency-correspondence.md,
PRO-001,Architect and consultant RFP,procurement,DSN,rfp,parcel_specific,planned,contractor_program_manager,company_decision_authority,company_decision_authority,false,true,rfp,internal,DSN-012,3,templates/procurement/architect-and-consultant-rfp.md,
PRO-002,Builder and general-contractor RFP,procurement,EST,rfp,parcel_specific,planned,contractor_program_manager,company_decision_authority,company_decision_authority,false,true,rfp,internal,DSN-012,3,templates/procurement/builder-and-general-contractor-rfp.md,
PRO-003,Bid instructions,procurement,EST,instructions,parcel_specific,planned,contractor_program_manager,company_decision_authority,company_decision_authority,false,true,rfp,internal,DSN-012,3,templates/procurement/bid-instructions.md,
PRO-004,Bidder question log,procurement,EST,log,parcel_specific,planned,contractor_program_manager,company_decision_authority,internal_peer,false,false,,internal,DSN-012,3,templates/procurement/bidder-question-log.md,
PRO-005,Bid-leveling schema,procurement,EST,schema,parcel_specific,planned,contractor_program_manager,company_decision_authority,internal_peer,false,false,,internal,DSN-012,3,templates/procurement/bid-leveling-schema.md,
PRO-006,Scope-gap matrix,procurement,EST,matrix,parcel_specific,planned,contractor_program_manager,company_decision_authority,company_decision_authority,false,false,,internal,DSN-012,3,templates/procurement/scope-gap-matrix.md,
